event_id,timestamp,features_json,label
evt_001,2025-01-01T00:00:00Z,"{""score"": 0.1082, ""engagement"": 0.1323, ""recency"": 7.4922, ""value"": 234.82}",0
evt_002,2025-01-01T02:30:00Z,"{""score"": 0.819, ""engagement"": 0.7821, ""recency"": 1.6491, ""value"": 1341.2}",1
evt_003,2025-01-01T05:00:00Z,"{""score"": 0.6579, ""engagement"": 0.4306, ""recency"": 6.5268, ""value"": 892.79}",1
evt_004,2025-01-01T07:30:00Z,"{""score"": 0.1859, ""engagement"": 0.3351, ""recency"": 7.9777, ""value"": 171.49}",0
evt_005,2025-01-01T10:00:00Z,"{""score"": 0.8504, ""engagement"": 0.7605, ""recency"": 2.9744, ""value"": 1106.54}",1
evt_006,2025-01-01T12:30:00Z,"{""score"": 0.9134, ""engagement"": 1.1299, ""recency"": 1.8854, ""value"": 1245.08}",0
evt_007,2025-01-01T15:00:00Z,"{""score"": 0.2554, ""engagement"": 0.3366, ""recency"": 8.8364, ""value"": 478.89}",0
evt_008,2025-01-01T17:30:00Z,"{""score"": 0.1812, ""engagement"": 0.2347, ""recency"": 9.5216, ""value"": 358.39}",0
evt_009,2025-01-01T20:00:00Z,"{""score"": 0.2917, ""engagement"": 0.3788, ""recency"": 8.4487, ""value"": 382.47}",0
evt_010,2025-01-01T22:30:00Z,"{""score"": 0.6791, ""engagement"": 0.4317, ""recency"": 4.9546, ""value"": 893.64}",0
evt_011,2025-01-02T01:00:00Z,"{""score"": 0.8434, ""engagement"": 0.7936, ""recency"": 2.5401, ""value"": 1159.65}",1
evt_012,2025-01-02T03:30:00Z,"{""score"": 0.4994, ""engagement"": 0.69, ""recency"": 5.9627, ""value"": 780.65}",0
evt_013,2025-01-02T06:00:00Z,"{""score"": 0.9058, ""engagement"": 1.0025, ""recency"": 4.2294, ""value"": 1273.22}",1
evt_014,2025-01-02T08:30:00Z,"{""score"": 0.3815, ""engagement"": 0.2269, ""recency"": 8.9425, ""value"": 561.81}",0
evt_015,2025-01-02T11:00:00Z,"{""score"": 0.8167, ""engagement"": 1.0167, ""recency"": 1.8868, ""value"": 1131.26}",1
evt_016,2025-01-02T13:30:00Z,"{""score"": 0.2222, ""engagement"": 0, ""recency"": 7.4777, ""value"": 473.2}",0
evt_017,2025-01-02T16:00:00Z,"{""score"": 0.253, ""engagement"": 0.2462, ""recency"": 7.9401, ""value"": 391.81}",0
evt_018,2025-01-02T18:30:00Z,"{""score"": 0.1697, ""engagement"": 0.0351, ""recency"": 7.7571, ""value"": 54.62}",0
evt_019,2025-01-02T21:00:00Z,"{""score"": 0.8261, ""engagement"": 0.7098, ""recency"": 2.9728, ""value"": 1091.8}",1
evt_020,2025-01-02T23:30:00Z,"{""score"": 0.1114, ""engagement"": 0.1734, ""recency"": 10.1591, ""value"": 277.39}",0
evt_021,2025-01-03T02:00:00Z,"{""score"": 0.3786, ""engagement"": 0.2421, ""recency"": 6.6316, ""value"": 579.86}",0
evt_022,2025-01-03T04:30:00Z,"{""score"": 0.6645, ""engagement"": 0.9333, ""recency"": 6.6602, ""value"": 983.56}",1
evt_023,2025-01-03T07:00:00Z,"{""score"": 0.1983, ""engagement"": 0.222, ""recency"": 10.1521, ""value"": 139.12}",0
evt_024,2025-01-03T09:30:00Z,"{""score"": 0.1111, ""engagement"": 0.274, ""recency"": 8.6801, ""value"": 334.47}",0
evt_025,2025-01-03T12:00:00Z,"{""score"": 0.1239, ""engagement"": 0.0111, ""recency"": 10.0166, ""value"": 175.98}",0
evt_026,2025-01-03T14:30:00Z,"{""score"": 0.8153, ""engagement"": 0.7341, ""recency"": 5.158, ""value"": 1402.85}",1
evt_027,2025-01-03T17:00:00Z,"{""score"": 0.7705, ""engagement"": 0.7901, ""recency"": 2.9496, ""value"": 1245.95}",1
evt_028,2025-01-03T19:30:00Z,"{""score"": 0.3949, ""engagement"": 0.421, ""recency"": 4.9621, ""value"": 625.36}",0
evt_029,2025-01-03T22:00:00Z,"{""score"": 0.5718, ""engagement"": 0.6559, ""recency"": 7.3964, ""value"": 704.54}",0
evt_030,2025-01-04T00:30:00Z,"{""score"": 0.5591, ""engagement"": 0.6349, ""recency"": 4.7545, ""value"": 721.99}",0
evt_031,2025-01-04T03:00:00Z,"{""score"": 0.7501, ""engagement"": 0.6096, ""recency"": 3.085, ""value"": 1011.06}",1
evt_032,2025-01-04T05:30:00Z,"{""score"": 0.5409, ""engagement"": 0.5623, ""recency"": 7.3235, ""value"": 759.91}",0
evt_033,2025-01-04T08:00:00Z,"{""score"": 0.417, ""engagement"": 0.2956, ""recency"": 5.0424, ""value"": 740.87}",0
evt_034,2025-01-04T10:30:00Z,"{""score"": 0.1098, ""engagement"": 0.0627, ""recency"": 8.6591, ""value"": 314.93}",0
evt_035,2025-01-04T13:00:00Z,"{""score"": 0.4112, ""engagement"": 0.2213, ""recency"": 6.1572, ""value"": 507.46}",0
evt_036,2025-01-04T15:30:00Z,"{""score"": 0.1449, ""engagement"": 0.2186, ""recency"": 9.393, ""value"": 188.35}",0
evt_037,2025-01-04T18:00:00Z,"{""score"": 0.8565, ""engagement"": 1.0108, ""recency"": 3.566, ""value"": 1128.32}",1
evt_038,2025-01-04T20:30:00Z,"{""score"": 0.414, ""engagement"": 0.2239, ""recency"": 7.7381, ""value"": 531.62}",0
evt_039,2025-01-04T23:00:00Z,"{""score"": 0.7871, ""engagement"": 0.6384, ""recency"": 4.7661, ""value"": 1071.73}",1
evt_040,2025-01-05T01:30:00Z,"{""score"": 0.7718, ""engagement"": 0.8604, ""recency"": 4.9323, ""value"": 1339.65}",0
evt_041,2025-01-05T04:00:00Z,"{""score"": 0.4525, ""engagement"": 0.44, ""recency"": 5.8954, ""value"": 508.53}",0
evt_042,2025-01-05T06:30:00Z,"{""score"": 0.6786, ""engagement"": 0.7666, ""recency"": 2.7291, ""value"": 864.05}",1
evt_043,2025-01-05T09:00:00Z,"{""score"": 0.911, ""engagement"": 0.9664, ""recency"": 0.742, ""value"": 1185.76}",0
evt_044,2025-01-05T11:30:00Z,"{""score"": 0.4529, ""engagement"": 0.2998, ""recency"": 8.2156, ""value"": 802.63}",0
evt_045,2025-01-05T14:00:00Z,"{""score"": 0.6455, ""engagement"": 0.8285, ""recency"": 4.9319, ""value"": 1079.69}",1
evt_046,2025-01-05T16:30:00Z,"{""score"": 0.3575, ""engagement"": 0.5498, ""recency"": 6.1611, ""value"": 555.24}",0
evt_047,2025-01-05T19:00:00Z,"{""score"": 0.426, ""engagement"": 0.6876, ""recency"": 6.3129, ""value"": 792.89}",0
evt_048,2025-01-05T21:30:00Z,"{""score"": 0.9413, ""engagement"": 1.0873, ""recency"": 1.6227, ""value"": 1263.17}",1
evt_049,2025-01-06T00:00:00Z,"{""score"": 0.3483, ""engagement"": 0.5563, ""recency"": 8.8803, ""value"": 722.5}",0
evt_050,2025-01-06T02:30:00Z,"{""score"": 0.3108, ""engagement"": 0.3757, ""recency"": 9.1065, ""value"": 447.3}",0
evt_051,2025-01-06T05:00:00Z,"{""score"": 0.2103, ""engagement"": 0.3416, ""recency"": 8.248, ""value"": 483.06}",0
evt_052,2025-01-06T07:30:00Z,"{""score"": 0.8555, ""engagement"": 0.8304, ""recency"": 4.0506, ""value"": 1362.53}",0
evt_053,2025-01-06T10:00:00Z,"{""score"": 0.8732, ""engagement"": 0.6863, ""recency"": 2.0898, ""value"": 1189.83}",0
evt_054,2025-01-06T12:30:00Z,"{""score"": 0.7973, ""engagement"": 1.0118, ""recency"": 2.7801, ""value"": 1339.09}",1
evt_055,2025-01-06T15:00:00Z,"{""score"": 0.1107, ""engagement"": 0, ""recency"": 7.5106, ""value"": 198.3}",0
evt_056,2025-01-06T17:30:00Z,"{""score"": 0.2347, ""engagement"": 0.0713, ""recency"": 6.7425, ""value"": 545.12}",0
evt_057,2025-01-06T20:00:00Z,"{""score"": 0.7065, ""engagement"": 0.7215, ""recency"": 2.5091, ""value"": 1116.45}",0
evt_058,2025-01-06T22:30:00Z,"{""score"": 0.9242, ""engagement"": 0.968, ""recency"": 1.2849, ""value"": 1553.44}",1
evt_059,2025-01-07T01:00:00Z,"{""score"": 0.628, ""engagement"": 0.4904, ""recency"": 6.462, ""value"": 1075.64}",1
evt_060,2025-01-07T03:30:00Z,"{""score"": 0.2953, ""engagement"": 0.1758, ""recency"": 6.2208, ""value"": 389.61}",0
evt_061,2025-01-07T06:00:00Z,"{""score"": 0.665, ""engagement"": 0.724, ""recency"": 3.3183, ""value"": 1034.81}",1
evt_062,2025-01-07T08:30:00Z,"{""score"": 0.1147, ""engagement"": 0.1755, ""recency"": 11.0408, ""value"": 297.32}",0
evt_063,2025-01-07T11:00:00Z,"{""score"": 0.2423, ""engagement"": 0.3333, ""recency"": 8.205, ""value"": 411.22}",0
evt_064,2025-01-07T13:30:00Z,"{""score"": 0.2357, ""engagement"": 0.2457, ""recency"": 9.2773, ""value"": 484.51}",0
evt_065,2025-01-07T16:00:00Z,"{""score"": 0.1067, ""engagement"": 0, ""recency"": 7.4974, ""value"": 0}",0
evt_066,2025-01-07T18:30:00Z,"{""score"": 0.4363, ""engagement"": 0.6157, ""recency"": 8.0311, ""value"": 726.21}",0
evt_067,2025-01-07T21:00:00Z,"{""score"": 0.3821, ""engagement"": 0.355, ""recency"": 7.2079, ""value"": 739.3}",0
evt_068,2025-01-07T23:30:00Z,"{""score"": 0.4297, ""engagement"": 0.5408, ""recency"": 4.5899, ""value"": 472.79}",0
evt_069,2025-01-08T02:00:00Z,"{""score"": 0.27, ""engagement"": 0.0609, ""recency"": 6.6937, ""value"": 511.3}",0
evt_070,2025-01-08T04:30:00Z,"{""score"": 0.8665, ""engagement"": 0.7801, ""recency"": 1.4178, ""value"": 1219.32}",1
evt_071,2025-01-08T07:00:00Z,"{""score"": 0.283, ""engagement"": 0.3041, ""recency"": 9.4849, ""value"": 523.08}",0
